NO_REGIAO,NU_ANO_CENSO,Numero_Escolas
Centro-Oeste,2009,9866
Centro-Oeste,2007,9708
Centro-Oeste,2016,10224
Centro-Oeste,2019,10311
Centro-Oeste,2011,9841
Centro-Oeste,2010,9886
Centro-Oeste,2020,10280
Centro-Oeste,2018,10314
Centro-Oeste,2013,9963
Centro-Oeste,2021,10306
Centro-Oeste,2012,9858
Centro-Oeste,2015,10173
Centro-Oeste,2022,10350
Centro-Oeste,2014,10062
Centro-Oeste,2023,10421
Centro-Oeste,2008,9871
Centro-Oeste,2017,10246
Nordeste,2018,63858
Nordeste,2012,74477
Nordeste,2020,61382
Nordeste,2011,75234
Nordeste,2021,60684
Nordeste,2017,65806
Nordeste,2015,68184
Nordeste,2008,81215
Nordeste,2022,60136
Nordeste,2019,62346
Nordeste,2023,59850
Nordeste,2013,72242
Nordeste,2010,77370
Nordeste,2009,79357
Nordeste,2014,70210
Nordeste,2016,67539
Nordeste,2007,80910
Norte,2023,22078
Norte,2009,24602
Norte,2016,22821
Norte,2015,22997
Norte,2022,22026
Norte,2008,24764
Norte,2011,23998
Norte,2021,22035
Norte,2010,24280
Norte,2020,22101
Norte,2017,22646
Norte,2018,22340
Norte,2012,23851
Norte,2007,24845
Norte,2019,22180
Norte,2013,23551
Norte,2014,23288
Sudeste,2020,60161
Sudeste,2010,58210
Sudeste,2018,59773
Sudeste,2013,59442
Sudeste,2019,60078
Sudeste,2023,60356
Sudeste,2009,58326
Sudeste,2014,59432
Sudeste,2016,59635
Sudeste,2021,59783
Sudeste,2007,57051
Sudeste,2017,59663
Sudeste,2011,58717
Sudeste,2012,59021
Sudeste,2015,59246
Sudeste,2008,58161
Sudeste,2022,60189
Sul,2016,25862
Sul,2009,25305
Sul,2010,25193
Sul,2019,25695
Sul,2020,25609
Sul,2013,25508
Sul,2007,25883
Sul,2014,25681
Sul,2017,25784
Sul,2011,25257
Sul,2021,25562
Sul,2015,25841
Sul,2023,25771
Sul,2008,25750
Sul,2018,25654
Sul,2012,25469
Sul,2022,25645
